,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Dragon,Mega,614.0
1,95.0,111.0,105.0,106.0,100.0,97.0,True,4,)Normal,Dark,Mega,614.0
2,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Fairy,Stage1,257.0
3,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Flying,Rock,Stage2,614.0
4,95.0,111.0,105.0,106.0,100.0,97.0,True,4,)Normal,Fire,Mega,614.0
5,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Poison,Basic,257.0
6,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
7,95.0,111.0,105.0,105.0,100.0,97.0,False,3,Ground,None,Stage2,613.0
8,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dragon,Normal,Mega,614.0
9,95.0,111.0,105.0,106.0,100.0,97.0,False,3,)Normal,Psychic,Stage2,614.0
10,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Fairy,Stage2,257.0
11,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
12,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
13,94.0,111.0,105.0,105.0,99.0,97.0,True,4,Grass,Ground,Mega,611.0
14,95.0,111.0,105.0,106.0,100.0,97.0,True,3,)Normal,Ghost,Stage1,614.0
15,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
16,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Fairy,Basic,257.0
17,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Fairy,Basic,257.0
18,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
19,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
20,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
21,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Ground,Rock,Stage2,614.0
22,95.0,111.0,105.0,106.0,100.0,97.0,False,3,)Normal,Psychic,Stage2,614.0
23,54.0,57.0,52.0,42.0,51.0,51.0,True,4,Bug,Flying,Basic,307.0
24,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
25,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
26,95.0,111.0,105.0,106.0,100.0,97.0,True,5,Grass,Grass,Stage2,614.0
27,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
28,95.0,111.0,104.0,105.0,99.0,97.0,False,3,Water,None,Stage2,611.0
29,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Ground,Rock,Stage2,614.0
30,95.0,111.0,105.0,106.0,100.0,97.0,False,3,)Normal,Psychic,Stage2,614.0
31,93.0,108.0,95.0,93.0,91.0,91.0,False,3,Ghost,Rock,Stage2,571.0
32,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
33,93.0,105.0,92.0,95.0,97.0,95.0,True,5,Grass,None,Basic,577.0
34,95.0,111.0,105.0,106.0,100.0,97.0,True,4,)Normal,Dark,Mega,614.0
35,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
36,55.0,49.0,46.0,42.0,45.0,45.0,False,1,Fairy,Fighting,Stage2,282.0
37,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Stage2,257.0
38,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Fairy,Stage2,257.0
39,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
40,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
41,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Grass,Fighting,Stage2,614.0
42,95.0,111.0,105.0,106.0,100.0,97.0,False,6,Rock,Rock,Stage2,614.0
43,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
44,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
45,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Stage2,257.0
46,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Water,Basic,257.0
47,50.0,52.0,51.0,43.0,47.0,48.0,False,3,Normal,Ground,Basic,291.0
48,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
49,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
50,95.0,111.0,105.0,106.0,100.0,97.0,True,6,Rock,Rock,Stage2,614.0
51,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Bug,Electric,Basic,257.0
52,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
53,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Psychic,Flying,Basic,257.0
54,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Psychic,Fairy,Stage2,257.0
55,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Bug,Flying,Basic,257.0
56,89.0,98.0,90.0,76.0,82.0,87.0,False,2,Fairy,Rock,Stage2,522.0
57,47.0,49.0,46.0,41.0,45.0,41.0,False,3,Electric,Fighting,Stage2,269.0
58,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Stage2,257.0
59,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Flying,Psychic,Stage2,614.0
60,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dragon,Dragon,Mega,614.0
61,95.0,111.0,105.0,105.0,100.0,97.0,False,3,Ghost,Rock,Stage2,613.0
62,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
63,95.0,111.0,105.0,106.0,100.0,97.0,True,4,)Normal,Dark,Mega,614.0
64,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Dragon,Mega,614.0
65,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Steel,Ghost,Mega,614.0
66,44.0,47.0,43.0,40.0,44.0,39.0,True,1,Bug,Flying,Basic,257.0
67,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
68,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
69,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Basic,257.0
70,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Ground,Rock,Stage2,614.0
71,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Ghost,Rock,Stage2,614.0
72,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Bug,Basic,257.0
73,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Fairy,Poison,Basic,257.0
74,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Dark,Fire,Mega,614.0
75,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Ghost,Psychic,Stage2,614.0
76,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Electric,Fairy,Stage2,257.0
77,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Rock,Rock,Stage2,614.0
78,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Grass,Rock,Stage2,614.0
