,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,47.0,111.0,43.0,40.0,100.0,41.0,True,2,Normal,Ghost,Stage1,382.0
1,44.0,106.0,46.0,49.0,45.0,97.0,True,5,Fairy,Psychic,Mega,387.0
2,94.0,111.0,105.0,85.0,99.0,39.0,False,2,Normal,Fire,Stage2,533.0
3,79.0,110.0,50.0,105.0,44.0,87.0,True,6,Dragon,Grass,Mega,475.0
4,73.0,111.0,102.0,104.0,100.0,39.0,False,5,Normal,Dark,Mega,529.0
5,44.0,53.0,67.0,40.0,100.0,96.0,False,2,Flying,Ghost,Basic,400.0
6,73.0,47.0,104.0,105.0,92.0,96.0,False,3,Electric,Fighting,Mega,517.0
7,69.0,47.0,43.0,40.0,44.0,39.0,True,1,Ice,Steel,Basic,282.0
8,89.0,110.0,102.0,47.0,46.0,45.0,False,3,Fairy,Normal,Mega,439.0
9,95.0,95.0,104.0,85.0,44.0,72.0,False,6,Dragon,Fairy,Mega,495.0
10,73.0,47.0,78.0,41.0,44.0,44.0,False,3,Water,Grass,Mega,327.0
11,92.0,47.0,43.0,41.0,44.0,39.0,True,6,Rock,Ground,Stage2,306.0
12,45.0,109.0,43.0,105.0,75.0,42.0,True,2,Fighting,Ghost,Stage2,419.0
13,77.0,111.0,57.0,48.0,71.0,86.0,False,3,Flying,Grass,Mega,450.0
14,44.0,57.0,105.0,93.0,47.0,97.0,False,5,Normal,Rock,Basic,443.0
15,93.0,48.0,43.0,41.0,90.0,60.0,True,1,)Normal,Poison,Basic,375.0
16,72.0,47.0,52.0,68.0,99.0,51.0,False,2,Grass,Steel,Stage1,389.0
17,95.0,111.0,43.0,82.0,99.0,39.0,True,2,Psychic,Fire,Stage2,469.0
18,44.0,100.0,77.0,40.0,44.0,41.0,False,6,Dark,Steel,Mega,346.0
19,83.0,88.0,44.0,105.0,45.0,87.0,False,4,Electric,Fairy,Stage1,452.0
20,95.0,86.0,105.0,105.0,91.0,97.0,False,6,Grass,Electric,Stage2,579.0
21,44.0,111.0,104.0,104.0,100.0,97.0,False,5,Ghost,Fighting,Basic,560.0
22,50.0,49.0,46.0,60.0,51.0,74.0,False,6,Ground,Steel,Mega,330.0
23,88.0,109.0,105.0,42.0,100.0,56.0,False,1,Grass,Electric,Stage2,500.0
24,45.0,47.0,100.0,106.0,75.0,61.0,True,2,Fighting,Fire,Stage2,434.0
25,72.0,63.0,105.0,106.0,100.0,97.0,False,2,Grass,Dragon,Stage2,543.0
26,48.0,54.0,103.0,105.0,100.0,77.0,False,2,Psychic,Fighting,Mega,487.0
27,92.0,102.0,87.0,76.0,48.0,90.0,False,5,Rock,Psychic,Stage1,495.0
28,72.0,48.0,43.0,54.0,45.0,39.0,True,5,Normal,Rock,Basic,301.0
29,45.0,111.0,105.0,106.0,69.0,97.0,False,4,Normal,Dragon,Stage2,533.0
30,95.0,97.0,46.0,40.0,44.0,43.0,True,2,Fairy,Poison,Stage1,365.0
31,93.0,57.0,43.0,105.0,44.0,39.0,True,5,Steel,Ground,Stage1,381.0
32,94.0,51.0,43.0,106.0,44.0,39.0,True,4,Dragon,Grass,Stage1,377.0
33,44.0,47.0,44.0,42.0,44.0,40.0,True,1,Water,Steel,Basic,261.0
34,76.0,107.0,93.0,102.0,89.0,97.0,False,6,Rock,Ground,Stage1,564.0
35,95.0,111.0,60.0,41.0,47.0,46.0,False,1,Fairy,Steel,Basic,400.0
36,57.0,79.0,105.0,105.0,81.0,84.0,False,2,Fighting,Dragon,Stage2,511.0
37,50.0,111.0,104.0,105.0,100.0,97.0,False,2,Ghost,Electric,Basic,567.0
38,63.0,111.0,87.0,41.0,44.0,89.0,True,1,Fairy,Rock,Basic,435.0
39,44.0,111.0,95.0,105.0,71.0,97.0,True,4,Water,Electric,Stage2,523.0
40,90.0,49.0,51.0,106.0,45.0,39.0,False,6,Dragon,Grass,Stage2,380.0
41,73.0,52.0,105.0,105.0,46.0,97.0,False,1,Flying,None,Stage2,478.0
42,45.0,105.0,43.0,56.0,68.0,63.0,False,3,)Normal,Ghost,Stage1,380.0
43,73.0,47.0,104.0,58.0,99.0,82.0,False,1,Psychic,Fighting,Stage2,463.0
44,95.0,108.0,56.0,40.0,92.0,40.0,True,2,Dark,Ghost,Stage1,431.0
45,94.0,61.0,105.0,49.0,100.0,96.0,False,6,Electric,Electric,Mega,505.0
46,87.0,111.0,47.0,85.0,100.0,97.0,False,2,Normal,Rock,Mega,527.0
47,80.0,108.0,76.0,99.0,47.0,87.0,False,1,Fighting,Steel,Stage1,497.0
48,95.0,100.0,100.0,106.0,100.0,92.0,False,1,Dragon,Dragon,Stage2,593.0
49,44.0,47.0,105.0,103.0,51.0,95.0,False,6,Poison,Normal,Stage1,445.0
50,91.0,111.0,43.0,41.0,44.0,47.0,False,2,)Normal,Poison,Basic,377.0
51,44.0,89.0,49.0,40.0,44.0,69.0,True,5,Fairy,Poison,Basic,335.0
52,63.0,111.0,43.0,104.0,88.0,96.0,False,2,Dragon,Fairy,Stage2,505.0
53,95.0,51.0,43.0,40.0,54.0,39.0,True,5,Dark,Flying,Mega,322.0
54,77.0,111.0,105.0,102.0,100.0,97.0,False,2,Normal,Rock,Basic,592.0
55,44.0,106.0,43.0,80.0,50.0,40.0,True,4,Fighting,Poison,Stage2,363.0
56,64.0,111.0,102.0,105.0,81.0,97.0,True,4,Fighting,Poison,Stage2,560.0
57,74.0,111.0,43.0,105.0,100.0,39.0,False,5,Normal,Dark,Mega,472.0
58,44.0,47.0,105.0,79.0,100.0,97.0,True,5,Rock,Bug,Stage1,472.0
59,49.0,103.0,105.0,105.0,100.0,94.0,False,6,Fairy,Bug,Stage1,556.0
60,82.0,111.0,43.0,106.0,44.0,39.0,True,6,Dragon,Dragon,Stage2,425.0
61,46.0,100.0,98.0,44.0,94.0,41.0,False,1,Electric,Fighting,Stage2,423.0
62,59.0,108.0,105.0,100.0,100.0,97.0,False,1,Bug,Poison,Mega,569.0
63,91.0,47.0,97.0,105.0,44.0,49.0,True,6,Rock,Fairy,Stage1,433.0
64,44.0,111.0,73.0,41.0,97.0,39.0,True,5,Normal,Dark,Basic,405.0
65,95.0,111.0,97.0,52.0,47.0,73.0,False,1,Ground,Ground,Stage1,475.0
66,68.0,111.0,105.0,106.0,96.0,97.0,False,6,Ghost,Bug,Stage1,583.0
67,44.0,111.0,60.0,104.0,100.0,97.0,False,5,Ghost,Ghost,Stage2,516.0
68,44.0,66.0,43.0,40.0,100.0,65.0,False,5,Electric,Ghost,Basic,358.0
69,77.0,107.0,43.0,43.0,44.0,43.0,True,3,Dark,Water,Stage1,357.0
70,94.0,55.0,43.0,86.0,46.0,62.0,False,6,Electric,Ground,Mega,386.0
71,44.0,109.0,104.0,104.0,68.0,39.0,True,2,Rock,Ice,Stage2,468.0
72,92.0,47.0,94.0,40.0,45.0,39.0,True,5,Fighting,Rock,Basic,357.0
73,49.0,80.0,97.0,104.0,64.0,97.0,False,6,Fairy,Bug,Mega,491.0
74,44.0,73.0,65.0,40.0,87.0,82.0,False,1,Dark,Flying,Mega,391.0
75,56.0,77.0,49.0,105.0,46.0,55.0,True,2,Fighting,Steel,Stage1,388.0
76,89.0,48.0,62.0,41.0,85.0,97.0,False,1,Rock,Ghost,Stage2,422.0
77,90.0,110.0,46.0,105.0,49.0,86.0,True,6,Dark,Dark,Stage2,486.0
78,95.0,63.0,89.0,45.0,90.0,39.0,False,1,Rock,Ghost,Basic,421.0
79,90.0,57.0,44.0,40.0,44.0,60.0,False,3,Ghost,Poison,Basic,335.0
80,95.0,72.0,105.0,50.0,100.0,97.0,False,5,Fire,Poison,Stage2,519.0
81,95.0,111.0,45.0,105.0,100.0,55.0,False,1,Ghost,Fairy,Stage2,511.0
82,44.0,103.0,102.0,71.0,44.0,39.0,False,3,Ice,Water,Stage1,403.0
83,93.0,111.0,103.0,80.0,100.0,79.0,False,3,Fairy,Normal,Basic,566.0
84,83.0,57.0,105.0,102.0,100.0,94.0,True,5,Dark,Psychic,Stage2,541.0
85,86.0,51.0,102.0,87.0,91.0,97.0,False,6,Steel,Normal,Mega,514.0
86,91.0,48.0,102.0,49.0,44.0,39.0,False,6,Bug,Grass,Stage2,373.0
87,73.0,47.0,60.0,43.0,44.0,40.0,False,6,Fighting,Grass,Stage2,307.0
88,73.0,50.0,105.0,85.0,44.0,39.0,True,3,Water,Steel,Stage2,396.0
89,44.0,109.0,105.0,97.0,100.0,97.0,False,5,Electric,Poison,Stage2,552.0
90,44.0,61.0,105.0,100.0,100.0,92.0,False,2,Grass,Fire,Stage2,502.0
91,57.0,111.0,72.0,106.0,44.0,94.0,False,1,Steel,Grass,Stage2,484.0
92,89.0,52.0,101.0,105.0,100.0,97.0,False,2,Normal,Rock,Mega,544.0
93,46.0,48.0,43.0,41.0,53.0,39.0,True,2,Normal,Fire,Basic,270.0
94,91.0,111.0,67.0,40.0,77.0,70.0,False,4,Bug,Normal,Stage1,456.0
95,44.0,104.0,50.0,105.0,100.0,97.0,True,5,Dragon,Dragon,Stage2,500.0
96,85.0,99.0,84.0,61.0,99.0,95.0,True,2,Normal,Rock,Stage2,523.0
