,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,95.0,111.0,69.0,105.0,96.0,39.0,True,2,Grass,Electric,Stage2,515.0
1,44.0,47.0,105.0,78.0,44.0,97.0,False,3,Dark,Fairy,Stage1,415.0
2,95.0,111.0,43.0,40.0,75.0,97.0,True,5,Dragon,Normal,Basic,461.0
3,95.0,111.0,43.0,83.0,100.0,43.0,True,4,Ground,Bug,Basic,475.0
4,44.0,57.0,105.0,40.0,44.0,45.0,False,6,Normal,Electric,Stage2,335.0
5,95.0,111.0,43.0,40.0,89.0,40.0,True,2,Ice,Water,Stage1,418.0
6,46.0,47.0,47.0,106.0,100.0,97.0,False,5,Fighting,Dark,Mega,443.0
7,44.0,47.0,105.0,106.0,100.0,56.0,False,6,Fire,Fighting,Stage2,458.0
8,95.0,111.0,72.0,40.0,57.0,41.0,True,2,Ice,Bug,Basic,416.0
9,95.0,111.0,44.0,40.0,99.0,92.0,True,4,Ground,Bug,Basic,481.0
10,80.0,111.0,43.0,106.0,100.0,97.0,True,5,Grass,Water,Mega,537.0
11,95.0,110.0,90.0,69.0,51.0,97.0,False,2,Electric,Fighting,Stage1,512.0
12,58.0,110.0,73.0,100.0,95.0,72.0,True,5,Fire,Dark,Stage1,508.0
13,59.0,65.0,43.0,106.0,100.0,96.0,True,5,Fighting,Water,Mega,469.0
14,95.0,111.0,43.0,46.0,100.0,97.0,True,5,Grass,Fire,Basic,492.0
15,95.0,111.0,43.0,40.0,98.0,96.0,True,2,Ice,Fire,Basic,483.0
16,44.0,55.0,46.0,105.0,71.0,97.0,True,5,Fighting,Flying,Stage1,418.0
17,45.0,100.0,43.0,105.0,100.0,97.0,True,5,Bug,Fire,Mega,490.0
18,95.0,111.0,105.0,41.0,46.0,39.0,True,2,Electric,Bug,Basic,437.0
19,61.0,47.0,105.0,40.0,44.0,39.0,False,1,Normal,Ghost,Stage2,336.0
20,95.0,111.0,43.0,106.0,100.0,97.0,True,5,Bug,Dragon,Mega,552.0
21,44.0,47.0,105.0,104.0,44.0,39.0,False,6,Water,Poison,Stage2,383.0
22,95.0,111.0,101.0,40.0,97.0,97.0,True,2,Electric,Rock,Basic,541.0
23,80.0,107.0,104.0,104.0,61.0,88.0,False,3,Rock,Flying,Basic,544.0
24,95.0,111.0,43.0,105.0,100.0,97.0,True,2,Bug,Fire,Basic,551.0
25,44.0,47.0,105.0,106.0,44.0,39.0,True,6,Fire,Ground,Stage2,385.0
26,44.0,47.0,105.0,106.0,44.0,39.0,False,6,)Normal,Fairy,Stage2,385.0
27,44.0,47.0,104.0,47.0,44.0,97.0,True,3,Fire,Rock,Stage1,383.0
28,53.0,106.0,105.0,49.0,44.0,40.0,False,4,Normal,Electric,Stage2,397.0
29,95.0,111.0,43.0,77.0,100.0,97.0,True,5,Ground,None,Stage1,523.0
30,92.0,111.0,43.0,105.0,100.0,94.0,True,5,Grass,Steel,Stage1,545.0
31,55.0,111.0,43.0,106.0,100.0,97.0,True,5,Bug,Dark,Mega,512.0
32,44.0,47.0,105.0,106.0,44.0,96.0,False,6,Bug,Fairy,Mega,442.0
33,94.0,111.0,105.0,104.0,52.0,45.0,True,5,Steel,Flying,Stage1,511.0
34,71.0,47.0,105.0,106.0,96.0,74.0,False,1,Fairy,Fighting,Stage2,499.0
35,95.0,111.0,97.0,45.0,44.0,41.0,True,2,Electric,Ghost,Basic,433.0
36,44.0,50.0,87.0,106.0,44.0,39.0,False,2,Rock,Water,Stage1,370.0
