,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,93.0,104.0,86.0,40.0,44.0,97.0,True,5,Ghost,Flying,Mega,464.0
1,44.0,47.0,105.0,44.0,50.0,83.0,True,1,Normal,Fairy,Basic,373.0
2,95.0,111.0,105.0,40.0,45.0,97.0,True,5,Bug,Ice,Mega,493.0
3,46.0,48.0,103.0,94.0,60.0,97.0,True,1,Water,None,Stage1,448.0
4,95.0,111.0,105.0,40.0,44.0,97.0,True,5,Bug,Poison,Mega,492.0
5,44.0,49.0,104.0,40.0,44.0,96.0,True,4,Ice,Fire,Stage1,377.0
6,44.0,47.0,43.0,106.0,94.0,40.0,False,3,Ground,Steel,Stage2,374.0
7,44.0,47.0,43.0,48.0,44.0,39.0,False,4,Dark,Ghost,Stage2,265.0
8,45.0,59.0,105.0,40.0,44.0,97.0,True,5,Dark,Psychic,Basic,390.0
9,73.0,48.0,43.0,106.0,45.0,41.0,False,3,Ice,Steel,Stage2,356.0
10,95.0,111.0,105.0,93.0,44.0,86.0,False,4,Fighting,Fighting,Mega,534.0
11,44.0,47.0,43.0,51.0,44.0,39.0,True,1,Psychic,Electric,Stage2,268.0
12,44.0,47.0,43.0,106.0,44.0,39.0,False,3,Dark,Dark,Stage2,323.0
13,89.0,47.0,43.0,106.0,98.0,97.0,False,3,Fire,None,Stage1,480.0
14,89.0,110.0,105.0,40.0,100.0,97.0,True,5,Fairy,Ice,Stage1,541.0
15,44.0,47.0,47.0,102.0,44.0,39.0,False,3,Dragon,Ground,Stage2,323.0
16,44.0,47.0,96.0,40.0,44.0,39.0,False,1,Fire,Electric,Basic,310.0
17,95.0,80.0,62.0,40.0,44.0,39.0,True,4,Ghost,Psychic,Stage2,360.0
18,44.0,47.0,46.0,105.0,44.0,39.0,False,3,Poison,Steel,Stage2,325.0
19,95.0,111.0,105.0,40.0,45.0,97.0,True,4,Bug,Rock,Mega,493.0
20,44.0,47.0,83.0,97.0,44.0,39.0,False,3,Psychic,Electric,Basic,354.0
21,44.0,47.0,43.0,40.0,44.0,39.0,False,5,Dark,Fairy,Basic,257.0
