,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,44.0,47.0,48.0,77.0,44.0,39.0,False,1,Bug,Fairy,Stage2,299.0
1,44.0,47.0,43.0,40.0,44.0,41.0,True,6,Dark,Psychic,Mega,259.0
2,93.0,111.0,84.0,106.0,100.0,39.0,False,5,Rock,Poison,Basic,533.0
3,44.0,54.0,43.0,40.0,44.0,97.0,True,6,Grass,Grass,Stage1,322.0
4,95.0,111.0,105.0,106.0,100.0,97.0,False,4,Flying,Fighting,Stage1,614.0
5,44.0,47.0,43.0,40.0,46.0,39.0,True,6,Electric,Electric,Basic,259.0
6,44.0,47.0,44.0,40.0,44.0,39.0,True,6,Dragon,Psychic,Stage1,258.0
7,92.0,111.0,57.0,105.0,100.0,97.0,True,5,Psychic,Ice,Stage1,562.0
8,44.0,47.0,43.0,40.0,44.0,39.0,False,1,Dark,Rock,Mega,257.0
9,64.0,58.0,104.0,106.0,100.0,89.0,False,5,Ground,Electric,Stage1,521.0
10,95.0,111.0,105.0,106.0,100.0,97.0,True,5,Fighting,Dragon,Stage1,614.0
11,44.0,47.0,89.0,40.0,48.0,39.0,False,6,Bug,Steel,Basic,307.0
12,76.0,111.0,105.0,106.0,100.0,39.0,False,2,Fighting,Normal,Stage1,537.0
13,64.0,62.0,97.0,43.0,49.0,93.0,False,2,Bug,Grass,Stage1,408.0
14,80.0,47.0,43.0,40.0,44.0,97.0,True,2,Psychic,Bug,Basic,351.0
15,45.0,111.0,105.0,106.0,100.0,39.0,False,5,Ghost,Normal,Basic,506.0
16,86.0,111.0,105.0,106.0,100.0,39.0,False,1,Fighting,Dragon,Basic,547.0
17,45.0,47.0,44.0,40.0,44.0,97.0,True,3,Water,Flying,Stage2,317.0
18,44.0,47.0,43.0,40.0,44.0,96.0,False,3,Poison,Fire,Stage2,314.0
19,44.0,47.0,43.0,40.0,44.0,40.0,True,6,Dark,Bug,Stage1,258.0
20,65.0,70.0,51.0,40.0,57.0,39.0,False,5,Bug,Dragon,Mega,322.0
21,46.0,111.0,69.0,72.0,90.0,48.0,True,5,Grass,Dark,Basic,436.0
22,44.0,47.0,43.0,40.0,44.0,40.0,True,6,Dragon,Flying,Stage1,258.0
23,44.0,47.0,46.0,41.0,47.0,39.0,True,1,Electric,Rock,Basic,264.0
24,51.0,111.0,43.0,87.0,100.0,39.0,True,5,Ghost,Rock,Basic,431.0
25,94.0,88.0,43.0,106.0,95.0,97.0,False,1,Bug,Fighting,Basic,523.0
26,44.0,47.0,43.0,40.0,44.0,39.0,True,6,Dragon,Electric,Basic,257.0
27,44.0,48.0,43.0,40.0,44.0,39.0,False,1,Dark,Grass,Mega,258.0
28,44.0,47.0,43.0,40.0,44.0,39.0,False,2,Steel,Normal,Basic,257.0
