,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,44.0,47.0,43.0,40.0,64.0,39.0,True,6,Electric,Fire,Basic,277.0
1,44.0,47.0,43.0,40.0,44.0,62.0,True,6,Dark,Bug,Stage1,280.0
2,90.0,47.0,43.0,50.0,44.0,97.0,False,1,Flying,Bug,Mega,371.0
3,44.0,101.0,92.0,86.0,84.0,39.0,False,1,Fire,Electric,Mega,446.0
4,93.0,90.0,86.0,53.0,92.0,97.0,True,6,Dragon,Flying,Stage1,511.0
5,62.0,111.0,105.0,106.0,100.0,43.0,True,5,Grass,Poison,Basic,527.0
6,44.0,64.0,75.0,106.0,100.0,39.0,False,5,Ghost,Normal,Stage1,428.0
7,55.0,47.0,105.0,40.0,99.0,94.0,True,6,Dragon,Dark,Stage1,440.0
8,50.0,59.0,104.0,106.0,100.0,97.0,False,5,Rock,Water,Mega,516.0
9,44.0,52.0,44.0,40.0,44.0,97.0,False,6,Dark,Grass,Stage1,321.0
10,44.0,66.0,43.0,40.0,44.0,91.0,True,5,Dark,Rock,Mega,328.0
11,57.0,49.0,96.0,41.0,78.0,97.0,True,6,Dragon,Flying,Stage1,418.0
12,44.0,108.0,43.0,40.0,48.0,39.0,False,1,Fire,Dragon,Mega,322.0
13,47.0,109.0,105.0,106.0,100.0,97.0,True,3,Psychic,Dark,Stage1,564.0
14,44.0,47.0,43.0,40.0,44.0,63.0,False,3,Fighting,Steel,Stage2,281.0
15,80.0,47.0,43.0,40.0,44.0,97.0,True,2,Grass,Flying,Stage2,351.0
16,44.0,49.0,43.0,86.0,100.0,39.0,False,5,Rock,Fire,Stage2,361.0
17,44.0,110.0,101.0,97.0,86.0,97.0,True,3,Psychic,Normal,Stage1,535.0
18,44.0,47.0,43.0,40.0,44.0,95.0,True,3,Water,Rock,Stage2,313.0
19,44.0,47.0,48.0,40.0,47.0,39.0,False,5,Rock,Electric,Mega,265.0
20,50.0,106.0,76.0,105.0,100.0,39.0,False,1,Bug,Fairy,Basic,476.0
21,69.0,98.0,95.0,89.0,99.0,39.0,True,6,Dragon,Flying,Stage1,489.0
22,90.0,111.0,105.0,106.0,100.0,40.0,False,5,Steel,Dragon,Mega,552.0
23,73.0,47.0,104.0,102.0,45.0,97.0,False,3,Fighting,Fighting,Mega,468.0
24,95.0,106.0,105.0,106.0,100.0,97.0,True,4,)Normal,Flying,Basic,609.0
25,44.0,47.0,43.0,40.0,44.0,43.0,False,6,Dark,Electric,Stage2,261.0
26,89.0,101.0,104.0,74.0,47.0,97.0,True,4,)Normal,Fighting,Basic,512.0
27,94.0,111.0,103.0,106.0,96.0,97.0,False,3,Water,Dark,Stage2,607.0
28,95.0,111.0,47.0,103.0,52.0,97.0,False,3,Fighting,Fairy,Mega,505.0
29,48.0,47.0,45.0,45.0,99.0,39.0,True,5,Rock,Flying,Basic,323.0
