,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,95.0,111.0,103.0,103.0,100.0,97.0,True,1,Steel,Fire,Stage1,609.0
1,95.0,111.0,105.0,106.0,100.0,97.0,False,5,)Normal,Electric,Stage2,614.0
2,95.0,111.0,105.0,106.0,100.0,97.0,False,1,Grass,Electric,Mega,614.0
3,95.0,111.0,105.0,106.0,100.0,97.0,True,1,)Normal,Fire,Stage1,614.0
4,95.0,109.0,105.0,105.0,96.0,97.0,False,1,Normal,Normal,Mega,607.0
5,95.0,111.0,105.0,105.0,100.0,97.0,True,1,Normal,Normal,Mega,613.0
6,49.0,48.0,43.0,96.0,97.0,97.0,False,2,Fire,Poison,Stage1,430.0
7,94.0,63.0,43.0,100.0,100.0,97.0,True,1,Rock,Fighting,Basic,497.0
8,94.0,47.0,43.0,40.0,51.0,96.0,True,2,Ground,None,Basic,371.0
9,95.0,111.0,51.0,106.0,100.0,97.0,False,1,Normal,Fire,Stage2,560.0
10,95.0,111.0,101.0,105.0,100.0,97.0,False,5,Ground,Electric,Mega,609.0
11,95.0,111.0,105.0,106.0,100.0,97.0,True,3,)Normal,Normal,Mega,614.0
12,44.0,47.0,43.0,43.0,45.0,51.0,False,2,Bug,None,Basic,273.0
13,95.0,111.0,105.0,99.0,100.0,97.0,True,6,Dragon,Ghost,Mega,607.0
14,95.0,47.0,43.0,106.0,100.0,97.0,True,1,Normal,Dark,Mega,488.0
15,95.0,111.0,105.0,106.0,100.0,97.0,False,6,)Normal,Electric,Mega,614.0
16,46.0,47.0,43.0,81.0,63.0,40.0,False,2,Ground,Grass,Stage1,320.0
17,45.0,47.0,43.0,40.0,44.0,39.0,True,4,Poison,Ghost,Mega,258.0
18,95.0,110.0,72.0,106.0,100.0,97.0,False,3,)Normal,Steel,Mega,580.0
19,44.0,47.0,43.0,40.0,44.0,39.0,False,2,Bug,Bug,Stage1,257.0
20,44.0,47.0,43.0,46.0,44.0,88.0,True,2,Fairy,Ice,Basic,312.0
21,44.0,47.0,43.0,40.0,44.0,39.0,True,2,Bug,Bug,Basic,257.0
22,95.0,111.0,100.0,71.0,100.0,97.0,True,1,Rock,Fire,Stage1,574.0
23,95.0,53.0,45.0,105.0,100.0,97.0,False,5,Normal,Ice,Mega,495.0
24,44.0,47.0,43.0,40.0,44.0,45.0,False,2,Bug,None,Basic,263.0
25,95.0,111.0,75.0,106.0,100.0,97.0,False,5,)Normal,Grass,Stage2,584.0
26,44.0,47.0,43.0,40.0,44.0,39.0,True,2,Water,Fairy,Basic,257.0
27,44.0,47.0,43.0,40.0,44.0,40.0,False,2,Electric,Psychic,Basic,258.0
28,45.0,47.0,43.0,49.0,44.0,97.0,False,2,Psychic,None,Basic,325.0
29,44.0,47.0,43.0,40.0,44.0,39.0,False,4,Fire,Dragon,Stage1,257.0
30,44.0,47.0,43.0,40.0,44.0,39.0,False,2,Bug,Dragon,Stage1,257.0
31,44.0,47.0,43.0,40.0,44.0,39.0,False,2,Bug,Bug,Basic,257.0
32,95.0,111.0,105.0,96.0,100.0,97.0,True,6,Ground,Normal,Mega,604.0
33,46.0,47.0,43.0,41.0,46.0,73.0,True,4,Bug,Ground,Stage1,296.0
34,95.0,111.0,105.0,106.0,100.0,97.0,False,1,Grass,Electric,Mega,614.0
