,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,73.0,111.0,103.0,105.0,63.0,97.0,False,5,Fairy,Normal,Stage2,552.0
1,94.0,111.0,80.0,102.0,49.0,86.0,False,3,)Normal,Grass,Mega,522.0
2,44.0,111.0,103.0,98.0,99.0,97.0,True,5,Ghost,Fire,Stage2,552.0
3,91.0,54.0,43.0,41.0,44.0,39.0,True,3,Ice,Dragon,Mega,312.0
4,75.0,111.0,104.0,104.0,59.0,97.0,False,6,Psychic,Psychic,Stage2,550.0
5,71.0,47.0,100.0,65.0,44.0,93.0,True,3,Fighting,Dragon,Stage2,420.0
6,44.0,47.0,105.0,105.0,55.0,97.0,False,6,Rock,None,Stage2,453.0
7,94.0,91.0,43.0,40.0,87.0,56.0,True,1,Fire,Poison,Mega,411.0
8,95.0,111.0,64.0,106.0,100.0,96.0,True,2,Grass,Dark,Stage2,572.0
9,88.0,104.0,70.0,40.0,47.0,85.0,True,5,Fairy,Ice,Stage1,434.0
10,44.0,68.0,101.0,41.0,100.0,83.0,False,5,Grass,Electric,Stage2,437.0
11,80.0,99.0,99.0,44.0,99.0,97.0,True,3,Psychic,Poison,Mega,518.0
12,73.0,56.0,104.0,40.0,44.0,44.0,False,2,Ice,Rock,Mega,361.0
13,94.0,48.0,51.0,41.0,44.0,43.0,False,6,Fire,None,Mega,321.0
14,92.0,47.0,105.0,41.0,44.0,40.0,True,2,Fighting,Steel,Stage1,369.0
