,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,44.0,72.0,43.0,106.0,58.0,97.0,False,4,)Normal,Dragon,Stage1,420.0
1,94.0,111.0,104.0,41.0,98.0,39.0,False,5,Fire,Fighting,Mega,487.0
2,95.0,111.0,68.0,106.0,100.0,97.0,True,4,Dragon,Bug,Stage1,577.0
3,45.0,48.0,60.0,40.0,45.0,39.0,False,5,Grass,Fighting,Basic,277.0
4,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Dark,Basic,257.0
5,44.0,47.0,43.0,106.0,44.0,97.0,False,3,)Normal,Bug,Stage1,381.0
6,44.0,47.0,43.0,40.0,44.0,83.0,False,3,)Normal,Dark,Stage1,301.0
7,74.0,111.0,45.0,106.0,99.0,97.0,False,4,Electric,Dark,Stage2,532.0
8,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Ice,Basic,257.0
9,44.0,47.0,43.0,40.0,44.0,44.0,False,3,)Normal,Dark,Stage1,262.0
10,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Dragon,Basic,257.0
11,52.0,84.0,86.0,40.0,48.0,39.0,False,5,Grass,Fighting,Basic,349.0
12,45.0,109.0,43.0,106.0,67.0,97.0,False,4,Electric,Flying,Stage2,467.0
13,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Dark,Stage1,257.0
14,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Fairy,Stage1,257.0
15,44.0,47.0,43.0,106.0,44.0,97.0,False,3,)Normal,Dark,Stage1,381.0
16,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,None,Basic,257.0
17,44.0,47.0,43.0,40.0,44.0,40.0,False,3,)Normal,Ice,Basic,258.0
18,47.0,111.0,43.0,106.0,91.0,97.0,False,4,Electric,Electric,Stage1,495.0
19,44.0,47.0,43.0,47.0,44.0,97.0,False,3,)Normal,Dark,Stage1,322.0
20,95.0,111.0,105.0,106.0,100.0,97.0,True,1,Bug,Bug,Mega,614.0
21,95.0,111.0,105.0,105.0,100.0,91.0,True,5,Bug,Fighting,Mega,607.0
22,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Bug,Basic,257.0
23,94.0,111.0,58.0,106.0,100.0,97.0,False,4,Electric,Electric,Stage1,566.0
24,95.0,111.0,101.0,106.0,100.0,97.0,False,4,Electric,Electric,Stage2,610.0
25,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Dark,Stage1,257.0
26,44.0,47.0,43.0,40.0,44.0,39.0,False,4,)Normal,Ice,Basic,257.0
27,95.0,111.0,105.0,104.0,100.0,39.0,True,5,Bug,Fighting,Mega,554.0
28,95.0,111.0,105.0,105.0,100.0,40.0,True,5,Bug,Fighting,Mega,556.0
29,95.0,111.0,105.0,56.0,100.0,39.0,True,5,Bug,Fighting,Mega,506.0
30,95.0,111.0,105.0,106.0,100.0,97.0,True,5,Fairy,Fighting,Mega,614.0
31,44.0,47.0,43.0,42.0,44.0,60.0,False,3,)Normal,Dark,Stage1,280.0
32,44.0,47.0,43.0,106.0,44.0,97.0,False,3,)Normal,Dragon,Stage1,381.0
33,44.0,47.0,43.0,104.0,44.0,97.0,False,4,Electric,Dark,Stage1,379.0
34,75.0,111.0,53.0,106.0,98.0,97.0,False,4,Electric,Flying,Stage2,540.0
35,44.0,47.0,43.0,40.0,44.0,39.0,False,3,)Normal,Dark,Stage1,257.0
36,44.0,50.0,43.0,43.0,44.0,40.0,False,4,)Normal,Ice,Stage2,264.0
37,44.0,111.0,43.0,106.0,46.0,97.0,False,4,Electric,Dark,Stage1,447.0
38,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Bug,Electric,Stage2,614.0
39,95.0,111.0,105.0,106.0,100.0,97.0,False,6,Fairy,Fire,Stage2,614.0
40,44.0,61.0,43.0,103.0,44.0,95.0,False,4,Fighting,Dark,Stage2,390.0
