,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,94.0,111.0,100.0,104.0,46.0,97.0,False,1,Fighting,Fighting,Mega,552.0
1,44.0,47.0,43.0,40.0,44.0,97.0,False,4,Dark,Fighting,Mega,315.0
2,44.0,47.0,43.0,40.0,44.0,97.0,False,1,Fire,Fighting,Mega,315.0
3,95.0,111.0,105.0,106.0,100.0,97.0,False,3,Electric,Dark,Stage2,614.0
4,44.0,47.0,43.0,40.0,44.0,87.0,False,2,)Normal,Fairy,Basic,305.0
5,95.0,111.0,105.0,106.0,100.0,39.0,True,5,Water,Bug,Stage2,556.0
6,95.0,111.0,105.0,106.0,100.0,41.0,True,5,Fighting,Bug,Stage2,558.0
7,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Psychic,Steel,Stage2,614.0
8,44.0,47.0,43.0,40.0,44.0,39.0,True,2,)Normal,Fairy,Basic,257.0
9,44.0,47.0,43.0,40.0,44.0,97.0,False,2,Dark,Fighting,Mega,315.0
10,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Ghost,Dark,Stage2,614.0
11,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Psychic,Dark,Mega,614.0
12,95.0,111.0,105.0,40.0,99.0,39.0,True,5,Ghost,Poison,Stage2,489.0
13,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Normal,Dark,Mega,614.0
14,95.0,111.0,80.0,106.0,100.0,97.0,False,1,Dark,Dark,Mega,589.0
15,94.0,111.0,105.0,40.0,99.0,39.0,True,5,Ghost,Fairy,Stage2,488.0
16,44.0,47.0,43.0,40.0,44.0,39.0,False,2,Fire,Fairy,Basic,257.0
17,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Fighting,Bug,Stage2,614.0
18,95.0,111.0,105.0,41.0,100.0,40.0,True,5,Fighting,Dragon,Stage2,492.0
19,44.0,47.0,43.0,40.0,44.0,97.0,False,1,Ice,Steel,Basic,315.0
20,95.0,111.0,105.0,40.0,100.0,39.0,True,1,)Normal,Bug,Stage2,490.0
21,44.0,47.0,43.0,40.0,44.0,97.0,False,2,Dark,Fighting,Mega,315.0
22,95.0,111.0,105.0,106.0,100.0,97.0,True,4,Bug,Dark,Stage2,614.0
23,44.0,47.0,43.0,40.0,44.0,97.0,False,2,Fighting,Fairy,Mega,315.0
24,95.0,111.0,105.0,106.0,100.0,39.0,True,5,)Normal,Bug,Stage2,556.0
25,95.0,111.0,105.0,40.0,100.0,39.0,True,5,)Normal,Bug,Stage2,490.0
26,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Psychic,Bug,Stage2,614.0
27,62.0,111.0,43.0,40.0,44.0,97.0,True,5,Bug,Rock,Basic,397.0
